               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.077626,             0.74154,            0.015114,           0.0075758,                 0.1,            0.004969,           0.0016897,            0.097176,             0.29213,            0.026666,            0.026931,           0.0019313,           0.0019313
                  76,            0.089543,             0.59079,            0.015199,           0.0075758,                 0.1,            0.004969,           0.0016897,            0.097176,             0.29213,            0.026666,            0.025882,           0.0018818,           0.0018818
                  77,            0.079459,             0.58677,            0.014876,           0.0017857,            0.022222,          0.00094873,          0.00027834,            0.097266,             0.29695,            0.026929,             0.02483,           0.0018303,           0.0018303
                  78,            0.090104,             0.59658,            0.014475,           0.0017857,            0.022222,          0.00094873,          0.00027834,            0.097266,             0.29695,            0.026929,            0.023777,           0.0017768,           0.0017768
                  79,            0.082239,             0.69522,             0.01424,           0.0017857,            0.022222,          0.00094873,          0.00027834,            0.097266,             0.29695,            0.026929,            0.022721,           0.0017214,           0.0017214
                  80,            0.087693,             0.81106,            0.015839,           0.0097691,             0.12222,           0.0061085,           0.0016917,            0.096555,             0.29886,            0.027557,            0.021664,            0.001664,            0.001664
                  81,             0.09313,             0.81533,            0.014578,           0.0097691,             0.12222,           0.0061085,           0.0016917,            0.096555,             0.29886,            0.027557,            0.020605,           0.0016046,           0.0016046
                  82,            0.085018,             0.61009,            0.014448,           0.0097691,             0.12222,           0.0061085,           0.0016917,            0.096555,             0.29886,            0.027557,            0.019543,           0.0015432,           0.0015432
                  83,            0.082061,             0.63891,             0.01335,            0.005597,            0.066667,           0.0032325,          0.00097758,            0.096116,             0.30031,            0.027728,             0.01848,           0.0014799,           0.0014799
                  84,            0.084023,             0.66457,            0.013921,            0.005597,            0.066667,           0.0032325,          0.00097758,            0.096116,             0.30031,            0.027728,            0.017415,           0.0014146,           0.0014146
                  85,            0.078746,             0.70653,            0.014545,            0.005597,            0.066667,           0.0032325,          0.00097758,            0.096116,             0.30031,            0.027728,            0.016347,           0.0013473,           0.0013473
                  86,             0.08017,             0.65098,            0.014265,            0.005597,            0.066667,           0.0032325,          0.00097758,            0.096116,             0.30031,            0.027728,            0.015278,            0.001278,            0.001278
                  87,            0.077638,             0.64491,            0.013637,            0.013309,             0.33889,            0.014592,           0.0023583,            0.095627,             0.30006,            0.027661,            0.014207,           0.0012067,           0.0012067
                  88,            0.089008,             0.83653,            0.015411,            0.013309,             0.33889,            0.014592,           0.0023583,            0.095627,             0.30006,            0.027661,            0.013133,           0.0011334,           0.0011334
                  89,            0.080452,              0.5516,            0.013963,            0.013309,             0.33889,            0.014592,           0.0023583,            0.095627,             0.30006,            0.027661,            0.012058,           0.0010582,           0.0010582
